id,failure_mode,category,likelihood,impact,early_warning,mitigation,fatal_to_thesis,notes
"FM-22","Agent hosts restrict telemetry or tool routing","Platform / policy","M","H","Enterprise policy disables external MCP or trace export.","Human-in-the-loop MCP; approved enterprise deployment; private networking; host partnerships.","Potentially","Distribution risk."
"FM-23","Latency breaks developer workflow","Technical / UX","M","M","Developers bypass broker because waiting interrupts agent runs.","Cache permitted metadata; async approval; narrow tools; source SLAs; batch checks.","No","Especially important in synchronous IDE use."
"FM-24","Source data is wrong, stale, or low coverage","Trust / quality","M","H","Expert reviewers find the licensed source misses paid-for edge cases.","Source-version receipts; coverage metadata; fallback routing; warranties; source ranking.","Potentially","May kill a vertical if gaps are structural."
"FM-25","Liability for wrong answers is unacceptable","Legal / trust","M","H","Contracts demand uncapped indemnity or production reliance warranties.","Decision-support framing; human review; limited pilot use; liability caps; warranty clarity.","Potentially","High in healthcare, legal, finance, and construction."
"FM-26","Sponsored/ranked source recommendations damage trust","Trust / monetization","M","M","Buyer asks whether broker chose best source or highest-margin source.","Disclose commercial relationships; separate ads from quality ranking; avoid sponsored discovery in MVP.","No","Avoidable early."
"FM-27","Metering and settlement disputes erode both sides","Operations / trust","M","M","Broker ledger diverges from buyer or provider logs.","Append-only usage ledger; provider log comparison; monthly invoicing; dispute process.","No","Operationally important but not inherently fatal."
"FM-28","Security/log leakage of proprietary content","Security / legal","M","H","Red-team finds raw provider responses in traces, PRs, or support tools.","Redaction by default; short TTLs; no raw storage; approved subprocessors; provenance receipts.","Potentially","Can become fatal after breach."
"FM-29","Dataset reconstruction through repeated queries","Security / moat","M","H","Query patterns cover broad cross-products instead of task-specific cases.","Query templates; budgets; similarity detection; corpus thresholds; anomaly suspension.","Potentially","Fatal if rights holders cannot trust controls."
"FM-30","MCP/payment rails commoditize the build","Competition","H","M","Buyers describe product as MCP plus billing.","Build vertical schema, rights registry, and outcome evals; buy payment rails.","Yes","Fatal to infrastructure-only startup."
"FM-31","Weak founder focus drifts into horizontal marketplace","Strategy","M","H","Roadmap prioritizes self-serve supplier onboarding before pilot renewal.","Hard gates: one vertical, one failure node, one buyer, one data owner.","Yes","Strategy discipline is a major requirement."
"FM-32","Data-owner concentration destroys margin","Supply / economics","M","H","Provider demands minimum guarantees, high prices, or customer ownership.","Start with broker-friendly supplier; add second source after demand proof.","Potentially","Acute in healthcare, legal, finance, and standards."
"FM-33","Buyer asks for services, not software","Business model","H","M","Invoices are mostly implementation hours; tool usage is low.","Charge for pilot services knowingly, but measure repeatability and support load.","Potentially","Fatal to venture thesis; viable services business."
"FM-34","No path to defensible demand graph","Moat","H","H","Too few comparable events per source/failure class after pilots.","Require aggregation rights; repeated task suites; defer moat claims.","Yes","Fatal to $1B horizontal story."
"FM-35","Free/public official sources are good enough in first vertical","Substitutes","M","H","Licensed-source lift over public baseline is below pilot threshold.","Choose premium enrichment or payer/local/authority data where public baseline is insufficient.","Potentially","Kills that vertical/failure node."
"FM-36","30-day pilot cannot access realistic traces","Pilot execution","M","M","No real runs or task fixtures by week two.","Require task set before signing; use synthetic representative fixtures.","No","Should trigger pause or re-scope."
