company,dataset,access_model,public_price,api_available,mcp_available,ai_policy,current_customer_base,cannibalization_fear,workflow_match,deal_structure,negotiation_difficulty,confidence,evidence_url,notes
"ATTOM","US property tax, deed, mortgage, AVM, hazard, sales and geospatial data","API, bulk licensing, cloud delivery, Databricks, official MCP server","not public","yes","yes","AI-native MCP access marketed for agents","Real estate, mortgage, insurance, proptech and analytics teams","low","Property underwriting, due diligence, valuation and lead-enrichment agents","Reseller/micro-metering for smaller agent developers","3","high","https://www.attomdata.com/news/most-recent/attom-introduces-mcp-server-and-databricks-delivery/","Covers 160M US properties; already agent-ready."
"CRED iQ","CRE loan data, CMBS/agency/CLO, valuations, comps, borrower contacts","Subscription plus datafeed/API","not public","yes","no","No explicit AI-agent policy found","CRE lenders, banks, investors, distressed-debt teams","medium","CRE underwriting and distressed-debt screening agents","Per-loan or per-property metered lookups","3","high","https://pages.cred-iq.com/datafeed","Attractive small/mid-size real estate data target."
"Reonomy","US commercial parcel ownership, transactions, property intelligence","Web app, API, bulk feed","web app from $400/mo annual per site; API custom","yes","no","No explicit AI-agent policy found","CRE investors, brokers, lenders, insurers","medium","Ownership unmasking and site-selection agents","Parent-approved metered API channel","5","high","https://www.reonomy.com/","Corporate parent approval likely slows negotiation."
"Shovels.ai","Building permits, contractor profiles, zoning/land-use decisions","Online product, API, enterprise data license, CLI","API/online intro tiers start at $599/mo; EDL custom","yes","yes/CLI-agent-friendly","Allows internal business use; no resale/redistribution without EDL","Contractor lead-gen, proptech, construction and local-market users","low","Permit research, contractor lead-gen, development-monitoring agents","EDL or reseller channel; direct API/MCP-like tools already exist","1","high","https://docs.shovels.ai/docs/knowledge-base/getting-started/pricing-structure","Very pilotable technically; less proof of broker need."
"RSMeans / Gordian","Construction cost line items, assemblies, localized cost factors, Flash AI estimates","RSMeans Data Online subscription and Flash AI Estimating","Flash AI $2500-$5000/user/year; data subscriptions vary","no public content API found","no","First-party AI estimating product built on RSMeans Data","Estimators, contractors, owners, architects, facilities teams","high","Construction estimating and scope-gap agents","Per-line-item retrieval with strict derived-use limits; difficult","7","high","https://www.rsmeans.com/flash-ai-estimating","High data value but first-party AI product suggests resistance."
"Dodge Construction Network","Construction project leads, bidding intelligence, Blue Book/Sweets ecosystem","Subscription; enterprise data/API not fully public","not public","partial","no","No explicit AI-agent policy found","Contractors, building-product manufacturers, preconstruction teams","medium-high","Bid-search, project-lead and product-sales agents","Per-project-record license with contact-info premium","5","medium-high","https://www.construction.com/company-news/dodge-construction-network-enters-next-phase-with-executive-leadership-changes-and-100-million-of-new-capital/","PE-backed/recapitalized profile may be commercially motivated."
"Thomasnet / Xometry","North American industrial supplier directory, capabilities, certifications, buyer intent","Free directory and advertising/performance listings; no public data API found","free to search; advertiser pricing not listed","no public data API found","no","No explicit AI-agent policy found","Industrial buyers, procurement engineers, manufacturers and advertisers","medium","Supplier discovery and RFQ shortlist agents","Per-search/profile licensing plus sponsored placement","5","high","https://investors.xometry.com/news-releases/news-release-details/thomas-launches-new-platform-tools-helping-industrial-buyers","Strong workflow fit; ad model may resist agent disintermediation."
"MOTOR Information Systems","OEM repair procedures, labor times, parts, DTCs, TSBs, maintenance schedules","Data as a Service licensing and RESTful APIs","not public","yes","no","No explicit AI-agent policy found","Repair software vendors, parts catalogs, shop systems, insurers","low-medium","Automotive diagnostic, service-writer and parts-selection agents","Per-vehicle or per-procedure metered API sublicensing","5","high","https://www.motor.com/developer-hub/","Wholesale data licensing model is structurally aligned."
"FreightWaves SONAR","Freight market indices, tender data, rate benchmarks, Bulk Rates API","Subscription and SONAR API","not public","yes","no","License restricts third-party benefit, sublicensing, derivatives and benchmark construction","Shippers, carriers, brokers, TMS and procurement teams","medium","Rate-quote, freight-procurement and negotiation agents","Agent-access rider to existing API agreement with metered usage","4","high","https://www.freightwaves.com/news/sonar-launches-bulk-trucking-contract-rate-benchmarks-via-api-bringing-pricing-transparency-to-one-of-freights-most-opaque-segments","Good data gap; contract engineering is the core work."
"DAT Freight & Analytics","Truckload spot/contract rates and load-board data","Subscription, load-board products, developer/API ecosystem","seat pricing public on site; API custom","yes","no","No explicit AI-agent policy found","Carriers, brokers, shippers, TMS vendors","medium","Truckload quoting and capacity agents","Metered benchmark lookups or app-partner agreement","5","medium","https://www.dat.com/","Network effects and load-board economics complicate resale."
"Xeneta","Crowdsourced ocean and air freight-rate benchmarks","Enterprise subscription and API","not public; third-party estimates exist but not used as official","yes","no","No explicit AI-agent policy found; contributor confidentiality matters","Large shippers, freight forwarders, procurement teams","medium-high","Ocean/air freight sourcing and benchmark agents","Contributor-permitted benchmark lookup licensing","6","high","https://www.xeneta.com/products/api","Valuable but contributor agreements may limit redistribution."
"OAG","Airline schedules, status, connections, historical flight data","Flight Info API, Snowflake/cloud delivery","not public","yes","no","No explicit AI-agent policy found","Travel platforms, airlines, airports, analytics users","low","Travel disruption, itinerary and airline-market agents","API reseller/micro-metering for smaller agent developers","4","high","https://www.oag.com/flight-info-api","API-first licensor; exchange adds billing/discovery."
"Cirium","Flight schedules, status, fleet, Ascend valuations","APIs, data streams, Snowflake delivery","not public","yes","no","No explicit AI-agent policy found; RELX AI strategy likely centralized","Airlines, airports, travel-tech, finance and insurance users","medium","Travel disruption, aviation finance and fleet agents","Parent-approved API sublicense","7","high","https://www.cirium.com/data/flight-schedules/schedules-and-connections-data/","RELX parent likely slows early pilot."
"Similarweb","Web/app traffic, keywords, audience, Amazon and lead signals","Subscription, API, official MCP server","not public","yes","yes","Actively markets MCP for AI agents","Brands, agencies, investors, analysts and GTM teams","low","Market research, SEO, competitive-intel and lead-enrichment agents","Reseller/channel only; direct MCP exists","3","high","https://www.similarweb.com/corp/ai/mcp/","Evidence against broker thesis because MCP is already live."
"CB Insights","Private-company funding, market maps, technology intelligence","Subscription, API; MCP reported in developer docs","not public","yes","reported yes","Agent-facing access appears to exist; verify direct doc before outreach","Corporate strategy, VC, innovation and market-intel teams","medium","Market mapping and private-company research agents","Enterprise connector/reseller if allowed","5","medium","https://www.cbinsights.com/","Good workflow fit, but likely self-distributing."
"Sayari","Corporate ownership, trade, supply-chain and risk graph data","Enterprise platform and API","not public","yes","no","No explicit AI-agent policy found","Government, compliance, supply-chain and financial-crime teams","medium","Beneficial-ownership, supply-chain risk and UFLPA agents","Entitlement-scoped metered API","5","medium-high","https://www.sayari.com/","Sensitive data and gov customers raise diligence burden."
"ComplyAdvantage","AML screening data, sanctions, PEPs, adverse media","API-first AML platform","not public","yes","no","No explicit AI-agent policy found","Banks, fintechs, payments, compliance teams","low-medium","KYC/KYB and transaction-monitoring agents","Metered screening API via exchange or direct integration","4","medium","https://complyadvantage.com/","API business is aligned, but direct sales may be sufficient."
"Definitive Healthcare","Healthcare provider, organization and claims-derived commercial intelligence","Subscription; API/integration likely enterprise","not public","partial","no","No explicit AI-agent policy found","Medtech, pharma, provider and healthcare commercial teams","medium","Healthcare sales, market-access and provider-research agents","Per-entity lookup with territory and purpose restrictions","4","medium","https://www.definitivehc.com/","Healthcare data sensitivity and public-company process create friction."
"Citeline / Norstella","Clinical trial intelligence, Pharmaprojects, Trialtrove, regulatory data","Enterprise subscription and feeds","not public","partial","no","Parent markets first-party AI/data products","Pharma, biotech, investors, clinical development teams","medium-high","Clinical-trial scouting and pharma competitive-intel agents","Parent-approved feed license; slow","6","high","https://www.citeline.com/","High value but Norstella strategic posture makes early pilot hard."
"DrugBank","Curated drug, target, interaction and biomedical knowledge","Commercial license, APIs, GraphQL, MCP in limited/GA roadmap","not public","yes","yes/limited","Licensing-first and building agent surface","Pharma, health-tech, academic and clinical software teams","low-medium","Drug-interaction, biomedical research and clinical-support agents","Reseller/channel only if they allow","3","high","https://itea4.org/project/exploitable-result/1197/drugbank-graphql-api-and-mcp-server-for-biomedical-data-integration.html","Good evidence of demand; direct agent surface reduces broker need."
"Wood Mackenzie","Energy asset models, commodity forecasts, Lens data","Subscription and Lens Direct API","not public","yes","no","No explicit AI-agent policy found","Energy producers, investors, utilities, analysts","medium-high","Energy diligence, asset-screening and commodity agents","Enterprise feed license; likely slow","6","high","https://www.woodmac.com/lens/direct/","High-value enterprise data; poor first pilot."
"Enverus","Oil, gas, land, power-market data and first-party Enverus AI","SaaS, developer API, first-party AI agents","not public","yes","partial/reported","Selling its own AI agents","Energy operators, investors, utilities and traders","high","Energy-market and asset-analysis agents","Unlikely supply; possible channel only","7","high","https://www.enverus.com/newsroom/enverus-ai-powering-the-next-era-of-energy-intelligence/","Strategic data moat makes supplier deal unlikely."
"ASTM International","Technical standards for materials, testing and construction","Compass subscription and per-document sales","per-document prices public; enterprise custom","no content API found","no","No explicit AI-agent license found","Engineers, labs, manufacturers, construction and compliance teams","very high","Engineering/compliance agents needing standards clauses","Per-clause retrieval license via standards platform; unprecedented","8","medium","https://www.astm.org/","Huge agent value, very hard rights culture."
"Accuris / Techstreet","Aggregated engineering standards and Engineering Workbench","Retail standards store and enterprise subscription","per-document/public store; enterprise custom","partial","no","Markets AI-powered workbench; no agent license found","Engineering, manufacturing, aerospace and compliance teams","high","Standards retrieval and compliance-checking agents","Partner as standards aggregation layer, not direct SDO-by-SDO deals","5","high","https://www.techstreet.com/","More realistic than negotiating with many SDOs."
"ANSI Webstore","Standards resale and standards subscriptions","Retail and enterprise standards access","per-document prices public; enterprise custom","no content API found","no","No explicit AI-agent license found","Engineering, compliance and manufacturing users","very high","Standards lookup and compliance agents","Aggregator partnership after proof elsewhere","8","medium","https://webstore.ansi.org/","Fragmented upstream rights make early pilot hard."
"JSTOR / Ithaka","Scholarly journal archive and institutional research content","Institutional subscription and limited research tools","institutional pricing","limited","no","Restricts third-party AI training; runs licensing tracker","Universities, libraries, researchers","high","Academic literature review agents","Rights-cleared retrieval through institutions; not first pilot","8","high","https://sr.ithaka.org/our-work/generative-ai-licensing-agreement-tracker/","Rights complexity and institutional entitlements are the blocker."
"Encyclopaedia Britannica","Encyclopedia, Merriam-Webster and reference content","Consumer/education subscriptions and licensing","consumer pricing public; data licensing not public","no public content API found","no","Litigating OpenAI over alleged unlicensed AI use","Schools, libraries, consumers, reference products","high","Reference and education research agents","Post-litigation reference licensing; not now","7","high","https://www.medianama.com/wp-content/uploads/2026/03/BRITTANICA-OPENAI-LAWSUIT-complaint.pdf","Willingness to license may exist, but litigation makes it radioactive."
"Oxford Languages / OUP","Dictionary, language, scholarly and reference content","Institutional/consumer subscriptions and language-data licensing","not public for data licensing","partial","no","Confirmed AI/LLM partnerships in publishing reports","Education, publishers, language-tech and researchers","medium","Dictionary/reference grounding and writing agents","Dataset license via existing Oxford Languages program","6","medium-high","https://www.thebookseller.com/news/wiley-cambridge-university-press-and-oxford-university-press-confirm-ai-partnerships","Big but has commercial data-licensing muscle."
"Politico Pro","Policy intelligence, legislative tracking and premium policy news","Premium subscription and first-party AI assistant","reported $12000+/yr; not official here","no public API found","no","Paid Pro content excluded from some AI deals; first-party assistant","Government affairs, regulated industries, policy teams","very high","Policy-monitoring and government-affairs agents","Trophy target; likely no early supply","8","high","https://www.niemanlab.org/2025/03/politico-pro-wants-subscribers-doing-deep-research-on-its-site-not-on-chatgpt/","First-party AI strategy is a warning sign."
"Endpoints News","Biopharma trade news and analysis","Subscription; parent FT/Nikkei","not public in this pass","no public API found","no","Parent has broader AI licensing strategy; no specific policy found","Biopharma executives, investors, analysts","high","Biopharma monitoring and competitive-intel agents","Corporate licensing via FT/Nikkei; slow","6","high","https://aboutus.ft.com/press_release/financial-times-acquires-majority-stake-in-endpoints-news","Valuable niche publisher but not a clean first deal."
"Industry Dive / Informa TechTarget","Vertical B2B trade publications and buyer-intent audiences","Free/ad-supported, registration, enterprise marketing products","free content; enterprise products custom","no public content API found","no","Parent has AI licensing history, but row not treated as specific deal","B2B professionals, marketers, industry operators","medium","Vertical research and market-monitoring agents","Corporate content/data license with attribution and usage reporting","5","high","https://www.informatechtarget.com/","Good mid-tail publisher aggregation candidate if corporate approves."
"ALM / Law.com","Legal trade journalism, rankings, law-firm financial surveys","Subscription and reports","not public in this pass","no public API found","no","No explicit AI-agent policy found","Law firms, legal vendors, legal operations teams","high","Law-firm competitive intelligence agents","Survey/report data license with strict output controls","6","medium","https://www.law.com/","High-value AmLaw-style data but seat/report cannibalization risk."
"Zoneomics","Municipal zoning codes, zoning maps and parcel-level zoning data","Subscription and API according to product site","not public","yes","no","No explicit AI-agent policy found","Developers, brokers, site-selection and proptech teams","low-medium","Site-selection and entitlement agents","Metered zoning lookups by parcel or jurisdiction","3","medium","https://www.zoneomics.com/","Good real-estate niche; verify API terms before outreach."
"ECRI","Medical device evaluations, hazard reports and healthcare procurement benchmarks","Membership/subscription","not public","no public API found","no","No explicit AI-agent policy found","Hospitals, health systems and healthcare procurement teams","medium-high","Hospital procurement and device-risk agents","Scoped benchmark retrieval inside procurement workflow","6","medium","https://www.ecri.org/","Nonprofit posture may help, but healthcare procurement is slow."
"Stats Perform","Opta sports data, historical stats, predictive models","Enterprise licensing and APIs","not public; third-party summaries exist","yes","no","No explicit AI-agent policy found","Media, betting, teams, leagues and broadcasters","low-medium","Sports analytics, betting and content agents","API reseller unlikely; custom enterprise only","6","medium-high","https://www.statsperform.com/faqs/stats-perform-faqs-pricing-licensing/","Good API business but existing sports-data licensing channels are mature."
"Sportradar","Official league sports data and media/betting APIs","Self-serve trial, packages and enterprise APIs","packages reported by third parties; official quote required","yes","no","No explicit AI-agent policy found; official rights dominate","Sportsbooks, media, leagues, teams and developers","low","Sports content, odds, fan-experience and analytics agents","Existing API package/reseller; not a first pilot","6","high","https://sportradar.com/media-tech/data-content/sports-data-api/","Mature official-data market; not much exchange whitespace."
