"company","product","workflow","proprietary_data_gap","likely_rights_holder","supporting_evidence_url","estimated_commercial_value","outreach_angle","confidence_level","notes"
"AlphaSense","Generative Search / Deep Research / market intelligence platform","Market intelligence, diligence, competitor research, expert-call analysis","Broker research, expert transcripts, private company data, trade journals, patent/regulatory data","AlphaSense/Tegus; sell-side research providers; news/trade publishers","https://www.alpha-sense.com/resources/product-articles/what-is-alphasense/","Inference: very high; business is premium content plus AI search","Partnership only for long-tail specialty datasets; not core content brokerage","high","Huge content moat and Tegus acquisition make them more acquirer/competitor than buyer."
"Daloopa","Daloopa MCP","AI financial modeling, earnings review, comps, fundamentals retrieval","Audit-ready fundamentals, KPIs, filings, transcripts, source-linked data","Daloopa; SEC/company filings; transcript licensors","https://docs.daloopa.com/docs/daloopa-mcp","Inference: high; financial agents need auditable data","Treat as supply-side partner for finance-agent demand rather than demand target","high","Already has official MCP; exchange adds discovery/billing if Daloopa wants more distribution."
"Fintool","Fintool API","SEC filing analysis, financial Q&A, citation-backed document retrieval","SEC filings, earnings transcripts, LLM-ready markdown, broader market/expert/news context","SEC/company IR; transcript providers; financial news/research vendors","https://docs.fintool.com/introduction","Inference: medium-high; filings workflows are valuable but much data is public","Offer licensed transcript/news/context sources as add-ons to filing-native assistant","medium","Strong structured-data/citation evidence; gap beyond filings is inferred."
"Finster AI","Finster AI platform / Screener","Investment banking and asset-management research, screening, pitch automation","FactSet, Crunchbase, Morningstar, PitchBook, MT Newswires, private data, internal/VDR files","FactSet; PitchBook; Crunchbase; Morningstar; MT Newswires; customer systems","https://www.finster.ai/resources/news/finster-ai-announces-strategic-partnership-with-factset","Inference: high; front-office finance has large data budgets","Offer plug-in premium data sources and rights-cleared evidence packs for banking agents","high","Good target: credible agent product with public partner evidence and likely still expanding source breadth."
"PitchBook","Navigator / Premium Connectors","Private-market research, deal sourcing, market maps, ChatGPT/Claude/Glean connectors","Private company, deal, fund, investor, and analyst research data","PitchBook/Morningstar","https://pitchbook.com/products/premium-connectors","Inference: very high for internal monetization; low need for external exchange","Approach as rights holder/supplier, not buyer; offer metering into third-party agents","high","Clear agent-facing data product; owns the proprietary data."
"Bloomberg","ASKB / Bloomberg Terminal AI","Terminal research, market analysis, workflows, BQL generation","Bloomberg data/news/research plus customer house views and portfolio data","Bloomberg; customer internal research; exchange/market-data licensors","https://professional.bloomberg.com/products/bloomberg-terminal/ai/","Inference: very high for Bloomberg's own AI; very low chance of buying from startup broker","Only plausible angle is specialty alternative-data partner routed into ASKB under client entitlements","medium","Important proof point, but structurally likely to internalize and control rights."
"Perplexity","Finance Search / Enterprise Pro / Computer connectors","Answer engine and agent workflows over web, finance data, enterprise apps","Licensed financial data, FactSet/Crunchbase integrations, premium publisher content, enterprise app data","FactSet; Crunchbase; publishers; customer SaaS systems","https://docs.perplexity.ai/docs/agent-api/finance-search","Inference: high; Perplexity prices Pro/Max/Enterprise and partner integrations","Offer exchange as a premium-source supply layer for Agent API/Computer connectors","high","Strong evidence for fragmented API problem; Perplexity may prefer to own routing."
"AllMind AI","AllMind","Institutional finance research, memos, diligence, portfolio analysis","Broker research, expert insights, live market feeds, ESG/news, internal firm data","Broker research providers; expert networks; market-data vendors; customers","https://allmind.ai/","Inference: medium-high; institutional finance buyers pay for trusted sources","Pitch as a way to add licensed source breadth without direct deal overhead","medium","Company exists and clearly claims licensed sources; public traction and buyer budget not verified."
"OpenEvidence","OpenEvidence clinical search","Clinical decision support and medical Q&A for clinicians","Full-text peer-reviewed medical journals, guidelines, multimedia, drug data","JAMA Network; NEJM Group; Lancet/Elsevier/Wolters Kluwer; guideline societies","https://www.openevidence.com/announcements/openevidence-and-the-jama-network-sign-strategic-content-agreement","Inference: very high; content deals are public and clinical trust depends on sources","Offer specialty society/guideline/data packs where OpenEvidence lacks direct coverage","high","One of the strongest paid licensing proofs; likely direct negotiator."
"Abridge","Abridge clinical conversation platform","Ambient documentation, coding, clinical decision support, prior authorization","EHR context, payer policy, medical guidelines, drug references, coding rules, UpToDate-like evidence","Health systems/EHRs; payers; Wolters Kluwer UpToDate; AMA/CPT; CMS; specialty societies","https://www.abridge.com/product","Inference: high; enterprise health systems pay for documentation/revenue-cycle ROI","Pitch licensed payer-policy and guideline routing with PHI-safe audit logging","high","Strong evidence of context-aware evidence and EHR integration; regulatory complexity high."
"Nabla","Nabla Copilot / Nabla Connect","Ambient clinical documentation, coding suggestions, EHR writeback","EHR data, ICD/HCC/coding references, medical guidelines, patient-specific context","Health systems/EHR vendors; CMS; AMA; specialty societies; drug/guideline publishers","https://nabla.com/ehr","Inference: medium-high; broad deployment but paid data gap is less explicit","Offer coding/guideline/source packs for smaller practices lacking enterprise subscriptions","medium","Strong EHR/ambient evidence; third-party data WTP is inferred."
"Ambience Healthcare","Ambience AutoScribe / AutoCDI / Chart Awareness","Clinical documentation, coding, revenue integrity, longitudinal chart reasoning","Longitudinal EHR records, labs, imaging, medications, pathology, coding rules, payer policies","Health systems/EHRs; CMS; AMA/CPT; payers; medical content publishers","https://www.businesswire.com/news/home/20260212784262/en/Ambience-Healthcare-Expands-Chart-Awareness-Across-Its-Intelligence-Platform","Inference: high; revenue integrity can tie to measurable dollars","Pitch payer-policy and coding-reference licensing with chart-aware provenance controls","high","Strong clinical data and coding evidence; complex procurement."
"Suki","Suki Ambient Clinical Intelligence","Ambient notes, orders, coding, patient summaries, EHR integration","EHR context, SNOMED/ICD/HCC/LOINC mappings, guidelines, drug references","EHR vendors; CMS; AMA; IMO/SNOMED/LOINC; medical publishers","https://developer.suki.ai/api-reference/overview","Inference: medium-high; enterprise health systems pay but data licensing not explicit","Offer governed clinical-reference/coding endpoints for ambient APIs","medium","Strong API/EHR evidence; likely builds/buys direct."
"Hippocratic AI","Polaris / healthcare voice agents","Non-diagnostic patient-facing voice agents, medication adherence, scheduling, escalation","Drug formularies, benefits/payer policies, clinical escalation protocols, device support docs","Payers; PBMs; drug databases; health systems; device manufacturers; guideline bodies","https://hippocraticai.com/polaris/","Inference: medium-high; safety-critical call automation can justify data spend","Pitch safety-vetted drug/formulary/payer-policy endpoints with auditable escalation logic","medium","Strong agent and safety evidence; exact third-party licensing needs not public."
"PathAI","AISight / digital pathology platform","Digital pathology workflow, image management, AI applications, clinical trials","Whole-slide images, pathology algorithms, biomarker references, lab/LIS data, third-party AI apps","Labs/health systems; biopharma; scanner vendors; algorithm developers; pathology datasets","https://www.pathai.com/blog/pathais-aisight-ims-platform-an-open-digital-pathology-platform-enabling-flexible-choice-across-ai-applications","Inference: medium-high; pathology AI has high clinical/biopharma value","Offer algorithm/data marketplace metering for third-party pathology apps inside AISight","medium","More platform/supply ecosystem than generic data buyer."
"Glass Health","Ambient CDS / clinical decision support","Differential diagnosis, assessment/plan drafting, evidence-grounded Q&A, ambient insights","Current clinical guidelines, drug labels, medical literature, patient records, local protocols","Guideline societies; FDA/drug references; publishers; health systems","https://glass.health/features","Inference: medium-high; clinician CDS has clear value but pricing/source deals not verified","Pilot guideline/drug-reference source routing with citation and freshness guarantees","medium","Good mid-tail clinical target; evidence of proprietary licensing is weaker than OpenEvidence/Avo."
"Avo","Ask Avo / Chart Assist","EHR-integrated AI consults, charting, discharge, ordering, guideline support","DynaMed, local protocols, payer info, patient EHR context, society guidelines","EBSCO DynaMed; hospitals; payers; specialty societies","https://www.avomd.com/resources/avo-embeds-dynamed-r-into-the-ehr-with-the-first-context-aware-ai-consult-tool-in-partnership-with-ebsco-clinical-decisions","Inference: high; public DynaMed partnership plus EHR workflow ROI","Offer additional payer-policy/guideline licensors through a governed clinical exchange","high","Strongest non-OpenEvidence clinical example of licensed content in workflow."
"Elicit","Research Agent / API / MCP","Academic search, systematic reviews, data extraction, research reports","Paywalled full text, supplementary files, figures/tables, institutional library entitlements","Publishers; university libraries; Crossref/Semantic Scholar; institutional proxies","https://elicit.com/solutions/systematic-review","Inference: medium-high; researchers pay subscriptions but publisher licensing is hard","Offer entitlement-aware full-text routing for institutional and corporate researchers","high","Clear gap and BYO access pattern; ability to pay for publisher content may vary by customer."
"Consensus","Consensus AI search","Literature search and synthesis for researchers, students, clinicians","Paywalled full text, licensed publisher content, institutional holdings","Publishers; university libraries; LibKey/Third Iron; GetFTR; institutions","https://consensus.app/home/blog/getting-started-with-consensus-university-access/","Inference: medium-high; universities/libraries pay but per-article economics unclear","Offer publisher-neutral full-text access routing and usage reporting","high","Explicitly says it does not provide special paywall access; gap is very clear."
"Scite","Scite AI Assistant / Scite MCP","Citation-backed research across scholarly literature","Licensed full text, Smart Citation metadata, institutional holdings resolution","Wiley; SAGE; 30-40+ publishers; Research Solutions/Article Galaxy; libraries","https://scite.ai/blog/introducing-scite-mcp","Inference: high; paid subscribers and publisher agreements are public","Partner as supply aggregator or learn from Scite; avoid competing head-on in STM","high","Already close to the proposed exchange for scholarly articles."
"Glean","Glean Work AI / Agents / Connectors","Enterprise search, assistant, agents across workplace tools","Permissioned SaaS data, CRM tickets, docs, code, people graph, custom connectors","Customers; SaaS vendors; internal systems; MCP providers","https://www.glean.com/platform/connectors","Inference: high for enterprise data connectors, low for external proprietary licensing","Offer specialty external datasets and rights-aware MCP servers for Glean customers","medium","Strong connector platform; likely buyer only for niche source distribution."
"Sierra","Sierra Agent OS / Agent Data Platform","Customer-service agents that answer and take actions across channels","CRM, billing, order, subscription, warehouse, SOP and support transcript data","Enterprise customers; CRM/ecommerce/billing vendors; data warehouses","https://sierra.ai/blog/agent-data-platform","Inference: medium-high; support automation has outcome ROI","Offer pre-cleared vertical data feeds such as warranty, returns-policy, product manuals, and benefit data","medium","Public evidence of Agent Data Platform; third-party proprietary data need depends on vertical customer."
"Intercom","Fin AI Agent / Data Connectors","Customer support answers and actions using real-time external systems","Help centers, order status, subscription/billing records, refunds, CRM/ticket data","Intercom customers; Shopify; Stripe; Salesforce; Jira; proprietary backends","https://www.intercom.com/help/en/articles/9916507-data-connectors-faqs","Inference: medium-high; Fin prices resolved conversations, but data access is customer-provided","Pitch as data-connector marketplace for vertical support sources and authenticated actions","medium","Strong technical gap; less evidence of Intercom buying third-party datasets centrally."
"Clay","Clay API, marketplace, Agent Plugin","GTM enrichment, lead research, CRM enrichment, waterfalling data providers","Contact/company data, intent, technographics, job postings, proprietary provider coverage gaps","Apollo; ZoomInfo; Clearbit; BuiltWith; LinkedIn; niche B2B data vendors","https://university.clay.com/docs/clay-api-cli","Inference: high; Clay already resells/orchestrates data providers","Position exchange as rights/settlement infrastructure for niche GTM data providers","high","One of the clearest demand-side marketplace analogs; not necessarily interested outside GTM."
"Cognition","Devin","Autonomous software engineering from tickets to PRs","Private codebases, docs, issues, logs, monitoring, package docs, API docs, runtime data","Customer repos; GitHub/GitLab/Jira/Slack; Sentry/Datadog/PagerDuty; docs publishers","https://cognitionai-enterprise.mintlify.app/integrations/overview","Inference: medium-high; coding agents pay for context but proprietary external data is mostly customer-owned","Offer licensed docs/API-reference freshness and observability-data connectors","medium","Strong MCP/integration evidence; less a proprietary dataset buyer than a connector consumer."
"Cursor","Cursor Agent / Cloud Agents / MCP","Agentic coding, background agents, web/docs lookup, tool use","Private repos, package docs, changelogs, API references, issue trackers, design/product docs","Customer repos; GitHub; package registries; docs sites; Figma/Linear/Notion","https://cursor.com/docs/mcp","Inference: medium-high; coding productivity spend is proven, data licensing less clear","Offer rights-cleared live docs/search connectors and enterprise source-routing policy","medium","Could consume data routes but also likely builds marketplace/connectors natively."
"Sourcegraph","Cody / agentic context fetching","Enterprise code search, coding assistant, multi-repo context, web/MCP context","Large private codebases, external docs, issue trackers, web context, local MCP tools","Customer repos; Sourcegraph; docs vendors; issue tracker vendors","https://sourcegraph.com/docs/cody/capabilities/agentic-context-fetching","Inference: medium; enterprise code context valuable, external proprietary data less central","Pitch compliant third-party docs/context connectors for regulated enterprise coding","medium","Good fit for connector layer, weak fit for paywalled proprietary content."
"Factory AI","Droids / Factory Enterprise","Software development agents across SDLC, Jira/Linear/Slack/PagerDuty workflows","Org context, architecture docs, tickets, incident logs, runbooks, package/API docs","Customer systems; GitHub/GitLab; Jira/Linear; PagerDuty; docs publishers","https://factory.ai/news/factory-is-ga","Inference: medium-high; agent-native development budgets emerging","Offer licensed real-time docs and operational-data connectors with audit trails","medium","Strong agent evidence; data gap mostly enterprise/internal rather than third-party proprietary."
"Samsara","Agent Studio / Connected Operations AI","Fleet safety, maintenance, warranty, driver communication, physical operations automation","Vehicle/asset telemetry, warranty docs, OEM repair data, parts inventory, map/traffic/weather data","Samsara network; OEMs; parts suppliers; map/weather providers; customers","https://www.samsara.com/company/news/press-releases/samsara-launches-new-agentic-capabilities-to-automate-tedious-operational-tasks","Inference: high; fleet downtime and warranty recovery have measurable ROI","Pilot OEM warranty/repair-data and parts-pricing feeds routed into maintenance agents","high","Strong agent evidence and massive data graph; Samsara owns much of the context."
"Flexport","Flexport Atlas / AI agents","Customs audit, tariff refunds, ocean freight optimization, supply-chain execution","Vessel schedules, carrier reliability, contract prices, customs filings, HS/tariff rules","Carriers; customs brokers; ports; customs authorities; Flexport Atlas; customers","https://www.flexport.com/technology/product-release/winter-2026/","Inference: high; logistics cost savings directly monetizable","Offer licensed tariff/regulatory, carrier, and port-disruption data feeds for autonomous trade agents","high","Strong data-fragmentation evidence; Flexport is building its own data foundation."
"project44","MO / AI Agent Orchestration","Supply-chain visibility, exception resolution, carrier onboarding, ETA/risk intelligence","Carrier APIs, telematics, ELD data, port/terminal data, risk signals, shipment history","project44 network; carriers; telematics providers; ports; shippers","https://www.project44.com/ai-agent-orchestration/mo/","Inference: high; supply-chain visibility budgets are established","Offer specialty risk/compliance/weather/port datasets and settlement with external data owners","high","Large proprietary logistics graph means partnership/supply role more plausible than demand customer."
"FourKites","FourSight AI / Loft","Supply-chain control tower, disruption response, agent orchestration","Shipment events, supplier performance, carrier data, weather/disruption/risk data, internal ERP/TMS","FourKites network; carriers; suppliers; risk-data vendors; customers","https://www.fourkites.com/blogs/fourkites-loft-ai-orchestration/","Inference: high; external reality data is central to value proposition","Pitch external risk-signal marketplace and rights-cleared carrier/supplier data routing","high","Strong public argument that AI agents need external real-time data."
"Procore","Procore AI / Assist / Datagrid AI","Construction project Q&A, reporting, RFI/submittal/spec analysis, agent workflows","Project RFIs, specs, drawings, submittals, financials, schedules, building codes, product data","Procore customers; UpCodes/ICC/NFPA; manufacturers; Autodesk; project owners","https://en-ca.support.procore.com/products/online/user-guide/project-level/assist/faq/what-data-can-assist-access","Inference: high; construction delays/rework are expensive","Offer standards/code/product-data packs with project-level entitlement and citations","medium","Strong AI-on-project-data evidence; current first-gen Assist is in transition to Datagrid."
"Autodesk","Autodesk Assistant in Revit/Forma","AEC design automation, model querying, construction data insights, summaries","BIM models, specs, RFIs, submittals, product libraries, codes, historical project data","Autodesk/customer data; standards bodies; product manufacturers; code publishers","https://www.autodesk.com/blogs/aec/2026/04/22/autodesk-assistant-in-revit-tech-preview/","Inference: high; design/construction software budgets are large","Offer licensed code/product/specification sources to assistant workflows via MCP-style adapters","high","Strong agentic design/action evidence; Autodesk likely internalizes platform."
"Perk","Perk MCP / travel and spend AI","Business travel/spend queries, policy compliance, approvals, booking/expense workflows","Flight/hotel/rail inventory, corporate rates, travel policies, card/expense data, disruption data","GDSs; airlines; hotels; rail providers; customer policies; expense/card systems","https://thebusinesstravelmag.com/perk-unveils-mcp-connector/","Inference: medium-high; travel/spend management has direct savings but supplier data access is complex","Pitch rights-aware inventory/policy routing for AI assistants without screen scraping","medium","MCP exists; booking functionality expansion planned, data rights are hard."
"Expedia Group","Romie / AI point agents / Activity Planner","Consumer travel planning, property comparison, itinerary, booking and trip management","Travel inventory, availability/pricing, reviews, activities, maps/events, user email/booking context","Expedia marketplace suppliers; airlines/hotels/activities; review/content owners; users","https://www.expedia.com/newsroom/expedia-group-unveils-new-ai-experiences-expands-travel-ecosystem-and-launches-philanthropy-program-at-explore-2026/","Inference: high for Expedia internally, medium for exchange opportunity","Offer premium local/activity/event data and rights-cleared content for point agents","medium","Expedia has huge owned marketplace data; CEO comments suggest agent integration remains hard."
"You.com","You.com agents / Cloudflare Pay Per Use partner","AI search and agents retrieving premium content on demand","Premium publisher content, fresh web, cited sources, paid-per-use content","Publishers via Cloudflare; news/media/data owners","https://blog.cloudflare.com/making-ai-search-smarter/","Inference: high as direct Pay Per Use experiment; pricing/volume undisclosed","Approach as demand partner for non-Cloudflare proprietary datasets and outcome-based payments","high","One of the few explicit examples of an agent paying on demand for premium content, but experiment-stage."
"OpenAI","ChatGPT connectors / API MCP / Deep Research","Horizontal assistant and agent workflows over enterprise and external data","Enterprise files, email, SharePoint, Drive, apps, proprietary databases, paywalled content","Customers; SaaS vendors; publishers; data partners","https://developers.openai.com/api/docs/guides/tools-connectors-mcp","Inference: very high for platform, low for independent exchange dependency","Only viable angle is becoming a trusted MCP/data partner with strong policy and rights metadata","medium","Strategically important but OpenAI is more likely platform/channel than customer."
"Anthropic","Claude enterprise search / custom MCP connectors","Research and enterprise assistant over internal/external sources","Slack/M365/Google data, custom APIs, private databases, web/search, customer tools","Customers; SaaS vendors; MCP providers; search providers","https://support.claude.com/en/articles/12489464-use-enterprise-search","Inference: high for connector demand, low for third-party exchange dependency","Offer read-only, enterprise-auth compatible MCP servers for rights-cleared datasets","medium","Anthropic created MCP and likely lets ecosystem provide sources; platform risk high."
"Mistral AI","Mistral Vibe / Le Chat connectors","Work and coding agents over enterprise tools and private APIs","Enterprise docs, databases, GitHub/Jira/Notion/Google Workspace, private APIs","Customers; SaaS vendors; MCP connector providers","https://docs.mistral.ai/vibe/work/connectors/mcp-connectors","Inference: medium-high; EU/on-prem enterprise angle may value governed data","Offer EU-hosted rights-cleared connectors with data-residency guarantees","medium","Good platform partner; not strong evidence of proprietary content licensing."
"Affirma","Private AI Agents","Private enterprise agents for regulated/sensitive environments","Internal documents, Microsoft 365, file repositories, regulated enterprise data","Affirma customers; Microsoft 365; internal repositories; industry data owners","https://www.affirma.com/ai/private-ai-agents/","Inference: low-medium; consulting services may bundle data integration, not buy data","Approach as implementation/channel partner for exchange-backed private agents","low","Included because search verified a similarly named operating company; not the user-mentioned 'Affirmative' unless that was a typo."
"Aisera","AI Service Management / healthcare agents","Healthcare service management, scheduling, billing, triage, IT/service workflows","EHR data, appointment systems, billing, referral documents, payer/benefits data","Healthcare providers; Epic/Cerner/Salesforce; payers/PBMs","https://aisera.com/blog/hipaa-compliance-ai-tools/","Inference: medium; support/service automation has ROI, proprietary dataset need is customer-specific","Offer HIPAA-compliant payer/provider data routing for patient-service agents","low","Secondary-source evidence only in this run; keep as watchlist not priority."
