id,failure_mode,description,probability,severity,leading_indicator,mitigation,existential,category
"F25","Dataset reconstruction abuse","A buyer uses many permitted calls to bulk extract or reconstruct a licensed database.","Medium","High","Query patterns sweep sequential IDs, broad alphabetic ranges, or high catalog fraction.","Catalog fraction caps, anomaly detection, per-buyer diversity limits, suspension rights.","no","Fraud"
"F26","Metering manipulation or ledger errors","Billable usage is undercounted, overcounted, duplicated, or disputed, damaging publisher and buyer trust.","Medium","High","Reconciliation mismatch between exchange ledger and publisher logs exceeds tolerance.","Idempotency keys, append-only ledger, weekly reconciliation, refund workflow, independent audit.","no","Payments"
"F27","Source outage or latency breaks agent workflows","Upstream source API is slow or down, making paid routing unusable in real-time agent tasks.","High","Medium","p95 latency exceeds task budget or source 5xx rate spikes.","SLA monitoring, fallback sources, circuit breakers, cache where licensed, buyer-visible status.","no","Technical"
"F28","Upstream API or terms change","Source changes schema, pricing, rate limits, or license terms unexpectedly, breaking integrations or margins.","Medium","High","Source release notes or invoices show unannounced changes.","Contract notice periods, adapter versioning, integration tests, price-change alerts, runoff clauses.","no","Supply"
"F29","Publisher revokes supply after low revenue","Publishers leave because payout is too small, buyer identity is hidden, or support burden is high.","Medium","High","Publisher statements show trivial revenue and rising support tickets.","Set expectations, minimum guarantees only where justified, transparent ledgers, focus on high-value workflows.","no","Supply"
"F30","Enterprise procurement cycle too long","Buyer security, legal, privacy, and procurement review exceeds startup runway or pilot budget.","High","High","Pilot stalls in vendor onboarding for more than 90 days.","Use existing marketplaces/partners, limited-scope pilots, buyer-private deployment, standardized security packet.","no","Operations"
"F31","Vertical compliance burden overwhelms revenue","Healthcare, finance, legal, or compliance requirements make each deal services-heavy and low-margin.","Medium","High","Each buyer requires bespoke DPA, audit, security architecture, and workflow customization.","Start with one vertical; productize repeated controls; avoid PHI/market-data heavy cases in MVP.","no","Economics"
"F32","Accidental PHI or consumer health data exposure","Clinical or wellness data enters the system without HIPAA/health-privacy architecture or BAAs.","Low","High","Sales pipeline includes health workflows before legal/technical readiness.","Exclude PHI at launch; no BAA; dedicated healthcare architecture only if vertical chosen.","no","Privacy"
"F33","Financial market-data redistribution violation","Exchange mishandles display/non-display or derived-data restrictions from market-data providers.","Medium","High","Finance source contract references exchange/vendor-of-record audit terms not implemented.","Avoid exchange market data initially or implement vendor-grade entitlements and audits.","no","Legal"
"F34","Security breach of licensed content","Attackers exfiltrate licensed source responses, embeddings, or transaction data.","Medium","Critical","Pen test finds weak tenant isolation, exposed logs, or overly broad admin access.","SOC2 roadmap, encryption, least privilege, audit logs, secrets management, incident plan.","yes","Security"
"F35","Agent platform connector policy change","Major agent hosts restrict external tools, paid calls, or third-party MCP servers, reducing distribution.","Medium","High","Platform announces connector review, fee, or allowlist requirements.","Support REST and cloud/private deployment; diversify distribution channels; comply with host policies.","no","Platform"
"F36","Dynamic pricing feature creates legal/commercial backlash","Algorithmic pricing or surge pricing for sources feels manipulative or violates antitrust/consumer rules.","Medium","High","Publishers request automated price optimization or buyers complain about opaque price changes.","Use transparent publisher-set rate cards; require quote/preauthorization; antitrust review.","no","Legal"
"F37","Unit economics fail at microtransaction prices","Per-call gross margin cannot cover payments, gateway cost, support, compliance, and disputes.","High","High","Gross margin per call is positive before support but negative after operations.","Bundle calls, monthly minimums, higher-value verticals, prepaid/invoice billing, kill low-price sources.","no","Economics"
"F38","Publisher revenue disappointment","AI usage payouts are too small relative to publisher expectations, creating churn and negative PR.","High","Medium","Publishers compare payout to lost traffic or licensing expectations and complain publicly.","Avoid inflated promises; provide transparent reports; target sources where per-use value is meaningful.","no","Supply"
"F39","Cloud marketplaces absorb enterprise channel","AWS, Snowflake, and Databricks become the preferred procurement and governance layer for AI-ready data.","High","High","Enterprise buyers require listing through existing cloud marketplace before purchase.","List through cloud marketplaces; make exchange a vertical control layer rather than separate procurement path.","no","Platform"
"F40","Regulatory action on ads in answers","Sponsored source placement or answer advertising triggers FTC, EU, or state UDAP scrutiny.","Medium","High","Product ships answer ads or hidden paid source boosts; complaints mention deception.","Disclose sponsorship, separate sponsored module, disable for high-risk workflows, legal review.","no","Legal"
"F41","Credential-lending access lawsuit","Exchange supports agents using end-user consumer subscriptions against publisher terms, inviting CFAA/contract claims.","Medium","Critical","Product roadmap includes browser login or customer credential replay for non-participating publishers.","Use publisher-authorized APIs/licenses; entitlement routing only where owner authorization is explicit.","yes","Legal"
"F42","Overbuilt horizontal marketplace before pilot proof","Team spends capital on self-serve marketplace, graph ML, sponsored ads, and broad catalog before proving one paid workflow.","High","High","Roadmap prioritizes marketplace UI and growth loops before paid pilot renewal.","Build narrow vertical MVP; use manual ops; require decisive kill criteria after 90 days.","no","Strategy"
